Jun 13 09:30:24 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 44] [Image Capture Start Time: 65.0 seconds]
Jun 13 09:30:25 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 45] [Image Capture Start Time: 66.0 seconds]
Jun 13 09:30:26 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 46] [Image Capture Start Time: 67.0 seconds]
Jun 13 09:30:27 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 47] [Image Capture Start Time: 68.0 seconds]
Jun 13 09:30:28 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 48] [Image Capture Start Time: 69.0 seconds]
Jun 13 09:30:29 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 49] [Image Capture Start Time: 70.0 seconds]
Jun 13 09:30:30 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 50] [Image Capture Start Time: 71.0 seconds]
Jun 13 09:30:31 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 51] [Image Capture Start Time: 72.0 seconds]
Jun 13 09:30:32 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 52] [Image Capture Start Time: 73.0 seconds]
Jun 13 09:30:33 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 53] [Image Capture Start Time: 74.0 seconds]
Jun 13 09:30:34 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 54] [Image Capture Start Time: 75.0 seconds]
Jun 13 09:30:35 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 55] [Image Capture Start Time: 76.0 seconds]
Jun 13 09:30:36 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 56] [Image Capture Start Time: 77.0 seconds]
Jun 13 09:30:37 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 57] [Image Capture Start Time: 78.0 seconds]
Jun 13 09:30:38 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 58] [Image Capture Start Time: 79.0 seconds]
Jun 13 09:30:39 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 59] [Image Capture Start Time: 80.0 seconds]
Jun 13 09:30:40 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 60] [Image Capture Start Time: 81.0 seconds]
Jun 13 09:30:41 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 61] [Image Capture Start Time: 82.0 seconds]
Jun 13 09:30:42 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 62] [Image Capture Start Time: 83.0 seconds]
Jun 13 09:30:43 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 63] [Image Capture Start Time: 84.0 seconds]
Jun 13 09:30:44 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 64] [Image Capture Start Time: 85.0 seconds]
Jun 13 09:30:45 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 65] [Image Capture Start Time: 86.0 seconds]
Jun 13 09:30:46 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 66] [Image Capture Start Time: 87.0 seconds]
Jun 13 09:30:47 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 67] [Image Capture Start Time: 88.0 seconds]
Jun 13 09:30:48 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 68] [Image Capture Start Time: 89.0 seconds]
Jun 13 09:30:49 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 69] [Image Capture Start Time: 90.0 seconds]
Jun 13 09:30:50 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 70] [Image Capture Start Time: 91.0 seconds]
Jun 13 09:30:51 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 71] [Image Capture Start Time: 92.0 seconds]
Jun 13 09:30:52 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 72] [Image Capture Start Time: 93.0 seconds]
Jun 13 09:30:53 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 73] [Image Capture Start Time: 94.0 seconds]
Jun 13 09:30:54 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 74] [Image Capture Start Time: 95.0 seconds]
Jun 13 09:30:55 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 75] [Image Capture Start Time: 96.0 seconds]
Jun 13 09:30:56 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 76] [Image Capture Start Time: 97.0 seconds]
Jun 13 09:30:57 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 77] [Image Capture Start Time: 98.0 seconds]
Jun 13 09:30:58 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 78] [Image Capture Start Time: 99.0 seconds]
Jun 13 09:30:59 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 79] [Image Capture Start Time: 100.0 seconds]
Jun 13 09:31:00 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 80] [Image Capture Start Time: 101.0 seconds]
Jun 13 09:31:01 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 81] [Image Capture Start Time: 102.0 seconds]
Jun 13 09:31:02 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 82] [Image Capture Start Time: 103.0 seconds]
Jun 13 09:31:03 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 83] [Image Capture Start Time: 104.0 seconds]
Jun 13 09:31:04 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 84] [Image Capture Start Time: 105.0 seconds]
Jun 13 09:31:05 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 85] [Image Capture Start Time: 106.0 seconds]
Jun 13 09:31:06 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 86] [Image Capture Start Time: 107.0 seconds]
Jun 13 09:31:07 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 87] [Image Capture Start Time: 108.0 seconds]
Jun 13 09:31:08 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 88] [Image Capture Start Time: 109.0 seconds]
Jun 13 09:31:09 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 89] [Image Capture Start Time: 110.0 seconds]
Jun 13 09:31:10 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 90] [Image Capture Start Time: 111.0 seconds]
Jun 13 09:31:11 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 91] [Image Capture Start Time: 112.0 seconds]
Jun 13 09:31:12 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 92] [Image Capture Start Time: 113.0 seconds]
Jun 13 09:31:13 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 93] [Image Capture Start Time: 114.0 seconds]
Jun 13 09:31:14 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 94] [Image Capture Start Time: 115.0 seconds]
Jun 13 09:31:15 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 95] [Image Capture Start Time: 116.0 seconds]
Jun 13 09:31:16 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 96] [Image Capture Start Time: 117.0 seconds]
Jun 13 09:31:17 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 97] [Image Capture Start Time: 118.0 seconds]
Jun 13 09:31:18 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 98] [Image Capture Start Time: 119.0 seconds]
Jun 13 09:31:19 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 99] [Image Capture Start Time: 120.0 seconds]
Jun 13 09:31:20 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 100] [Image Capture Start Time: 121.0 seconds]
Jun 13 09:31:21 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 101] [Image Capture Start Time: 122.0 seconds]
Jun 13 09:31:22 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 102] [Image Capture Start Time: 123.0 seconds]
Jun 13 09:31:23 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 103] [Image Capture Start Time: 124.0 seconds]
Jun 13 09:31:24 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 104] [Image Capture Start Time: 125.0 seconds]
Jun 13 09:31:25 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 105] [Image Capture Start Time: 126.0 seconds]
Jun 13 09:31:26 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 106] [Image Capture Start Time: 127.0 seconds]
Jun 13 09:31:27 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 107] [Image Capture Start Time: 128.0 seconds]
Jun 13 09:31:28 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 108] [Image Capture Start Time: 129.0 seconds]
Jun 13 09:31:29 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 109] [Image Capture Start Time: 130.0 seconds]
Jun 13 09:31:30 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 110] [Image Capture Start Time: 131.0 seconds]
Jun 13 09:31:31 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 111] [Image Capture Start Time: 132.0 seconds]
Jun 13 09:31:32 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 112] [Image Capture Start Time: 133.0 seconds]
Jun 13 09:31:33 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 113] [Image Capture Start Time: 134.0 seconds]
Jun 13 09:31:34 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 114] [Image Capture Start Time: 135.0 seconds]
Jun 13 09:31:35 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 115] [Image Capture Start Time: 136.0 seconds]
Jun 13 09:31:36 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 116] [Image Capture Start Time: 137.0 seconds]
Jun 13 09:31:37 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 117] [Image Capture Start Time: 138.0 seconds]
Jun 13 09:31:38 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 118] [Image Capture Start Time: 139.0 seconds]
Jun 13 09:31:39 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 119] [Image Capture Start Time: 140.0 seconds]
Jun 13 09:31:40 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 120] [Image Capture Start Time: 141.0 seconds]
Jun 13 09:31:41 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 121] [Image Capture Start Time: 142.0 seconds]
Jun 13 09:31:42 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 122] [Image Capture Start Time: 143.0 seconds]
Jun 13 09:31:43 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 123] [Image Capture Start Time: 144.0 seconds]
Jun 13 09:31:44 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 124] [Image Capture Start Time: 145.0 seconds]
Jun 13 09:31:45 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 125] [Image Capture Start Time: 146.0 seconds]
Jun 13 09:31:46 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 126] [Image Capture Start Time: 147.0 seconds]
Jun 13 09:31:47 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 127] [Image Capture Start Time: 148.0 seconds]
Jun 13 09:31:48 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 128] [Image Capture Start Time: 149.0 seconds]
Jun 13 09:31:49 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 129] [Image Capture Start Time: 150.0 seconds]
Jun 13 09:31:50 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 130] [Image Capture Start Time: 151.0 seconds]
Jun 13 09:31:51 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 131] [Image Capture Start Time: 152.0 seconds]
Jun 13 09:31:52 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 132] [Image Capture Start Time: 153.0 seconds]
Jun 13 09:31:53 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 133] [Image Capture Start Time: 154.0 seconds]
