Jun 13 11:56:05 raspberrypi capture[550215]: [Course#:4][Final Project]: Linux raspberrypi 6.18.29+rpt-rpi-v8 #1 SMP PREEMPT Debian 1:6.18.29-1+rpt1 (2026-05-12) aarch64 GNU/Linux
Jun 13 11:56:10 raspberrypi capture[550215]: [Course #:4] [Final Project] [Frame Count: 0] [Image Capture Start Time: 12695.9 seconds]
Jun 13 11:56:10 raspberrypi capture[550215]: [Course #:4] [Final Project] [Frame Count: 1] [Image Capture Start Time: 12696.0 seconds]
Jun 13 11:56:10 raspberrypi capture[550215]: [Course #:4] [Final Project] [Frame Count: 2] [Image Capture Start Time: 12696.1 seconds]
Jun 13 11:56:10 raspberrypi capture[550215]: [Course #:4] [Final Project] [Frame Count: 3] [Image Capture Start Time: 12696.2 seconds]
Jun 13 11:56:10 raspberrypi capture[550215]: [Course #:4] [Final Project] [Frame Count: 4] [Image Capture Start Time: 12696.3 seconds]
Jun 13 11:56:10 raspberrypi capture[550215]: [Course #:4] [Final Project] [Frame Count: 5] [Image Capture Start Time: 12696.4 seconds]
Jun 13 11:56:10 raspberrypi capture[550215]: [Course #:4] [Final Project] [Frame Count: 6] [Image Capture Start Time: 12696.5 seconds]
Jun 13 11:56:10 raspberrypi capture[550215]: [Course #:4] [Final Project] [Frame Count: 7] [Image Capture Start Time: 12696.6 seconds]
Jun 13 11:56:10 raspberrypi capture[550215]: [Course #:4] [Final Project] [Frame Count: 8] [Image Capture Start Time: 12696.7 seconds]
Jun 13 11:56:10 raspberrypi capture[550215]: [Course #:4] [Final Project] [Frame Count: 9] [Image Capture Start Time: 12696.8 seconds]
Jun 13 11:56:11 raspberrypi capture[550215]: [Course #:4] [Final Project] [Frame Count: 10] [Image Capture Start Time: 12696.9 seconds]
Jun 13 11:56:11 raspberrypi capture[550215]: [Course #:4] [Final Project] [Frame Count: 11] [Image Capture Start Time: 12697.0 seconds]
Jun 13 11:56:11 raspberrypi capture[550215]: [Course #:4] [Final Project] [Frame Count: 12] [Image Capture Start Time: 12697.1 seconds]
Jun 13 11:56:11 raspberrypi capture[550215]: [Course #:4] [Final Project] [Frame Count: 13] [Image Capture Start Time: 12697.2 seconds]
Jun 13 11:56:11 raspberrypi capture[550215]: [Course #:4] [Final Project] [Frame Count: 14] [Image Capture Start Time: 12697.3 seconds]
Jun 13 11:56:11 raspberrypi capture[550215]: [Course #:4] [Final Project] [Frame Count: 15] [Image Capture Start Time: 12697.4 seconds]
Jun 13 11:56:11 raspberrypi capture[550215]: [Course #:4] [Final Project] [Frame Count: 16] [Image Capture Start Time: 12697.5 seconds]
Jun 13 11:56:11 raspberrypi capture[550215]: [Course #:4] [Final Project] [Frame Count: 17] [Image Capture Start Time: 12697.6 seconds]
Jun 13 11:56:11 raspberrypi capture[550215]: [Course #:4] [Final Project] [Frame Count: 18] [Image Capture Start Time: 12697.7 seconds]
Jun 13 11:56:11 raspberrypi capture[550215]: [Course #:4] [Final Project] [Frame Count: 19] [Image Capture Start Time: 12697.8 seconds]
