Jun 20 11:14:29 raspberrypi capture[49573]: [Course #:4] [Final Project] [Frame Count: 43] [Image Capture Start Time: 7.440435940 seconds]
Jun 20 11:14:29 raspberrypi capture[49573]: [Course #:4] [Final Project] [Frame Count: 44] [Image Capture Start Time: 7.540444440 seconds]
Jun 20 11:14:29 raspberrypi capture[49573]: [Course #:4] [Final Project] [Frame Count: 45] [Image Capture Start Time: 7.640459866 seconds]
Jun 20 11:14:29 raspberrypi capture[49573]: [Course #:4] [Final Project] [Frame Count: 46] [Image Capture Start Time: 7.740477662 seconds]
Jun 20 11:14:29 raspberrypi capture[49573]: [Course #:4] [Final Project] [Frame Count: 47] [Image Capture Start Time: 7.840487718 seconds]
Jun 20 11:14:29 raspberrypi capture[49573]: [Course #:4] [Final Project] [Frame Count: 48] [Image Capture Start Time: 7.940532959 seconds]
Jun 20 11:14:29 raspberrypi capture[49573]: [Course #:4] [Final Project] [Frame Count: 49] [Image Capture Start Time: 8.040570681 seconds]
Jun 20 11:14:30 raspberrypi capture[49573]: [Course #:4] [Final Project] [Frame Count: 50] [Image Capture Start Time: 8.140545625 seconds]
Jun 20 11:14:30 raspberrypi capture[49573]: [Course #:4] [Final Project] [Frame Count: 51] [Image Capture Start Time: 8.240549921 seconds]
Jun 20 11:14:30 raspberrypi capture[49573]: [Course #:4] [Final Project] [Frame Count: 52] [Image Capture Start Time: 8.340565236 seconds]
Jun 20 11:14:30 raspberrypi capture[49573]: [Course #:4] [Final Project] [Frame Count: 53] [Image Capture Start Time: 8.440578107 seconds]
Jun 20 11:14:30 raspberrypi capture[49573]: [Course #:4] [Final Project] [Frame Count: 54] [Image Capture Start Time: 8.540588903 seconds]
Jun 20 11:14:30 raspberrypi capture[49573]: [Course #:4] [Final Project] [Frame Count: 55] [Image Capture Start Time: 8.640604477 seconds]
Jun 20 11:14:30 raspberrypi capture[49573]: [Course #:4] [Final Project] [Frame Count: 56] [Image Capture Start Time: 8.740635958 seconds]
Jun 20 11:14:30 raspberrypi capture[49573]: [Course #:4] [Final Project] [Frame Count: 57] [Image Capture Start Time: 8.840634606 seconds]
Jun 20 11:14:30 raspberrypi capture[49573]: [Course #:4] [Final Project] [Frame Count: 58] [Image Capture Start Time: 8.940652088 seconds]
Jun 20 11:14:30 raspberrypi capture[49573]: [Course #:4] [Final Project] [Frame Count: 59] [Image Capture Start Time: 9.040717754 seconds]
Jun 20 11:14:31 raspberrypi capture[49573]: [Course #:4] [Final Project] [Frame Count: 60] [Image Capture Start Time: 9.140676439 seconds]
Jun 20 11:14:31 raspberrypi capture[49573]: [Course #:4] [Final Project] [Frame Count: 61] [Image Capture Start Time: 9.240691106 seconds]
Jun 20 11:14:31 raspberrypi capture[49573]: [Course #:4] [Final Project] [Frame Count: 62] [Image Capture Start Time: 9.340707643 seconds]
Jun 20 11:14:31 raspberrypi capture[49573]: [Course #:4] [Final Project] [Frame Count: 63] [Image Capture Start Time: 9.440725884 seconds]
Jun 20 11:14:31 raspberrypi capture[49573]: [Course #:4] [Final Project] [Frame Count: 64] [Image Capture Start Time: 9.540738254 seconds]
Jun 20 11:14:31 raspberrypi capture[49573]: [Course #:4] [Final Project] [Frame Count: 65] [Image Capture Start Time: 9.640750180 seconds]
Jun 20 11:14:31 raspberrypi capture[49573]: [Course #:4] [Final Project] [Frame Count: 66] [Image Capture Start Time: 9.740766828 seconds]
Jun 20 11:14:31 raspberrypi capture[49573]: [Course #:4] [Final Project] [Frame Count: 67] [Image Capture Start Time: 9.840779124 seconds]
Jun 20 11:14:31 raspberrypi capture[49573]: [Course #:4] [Final Project] [Frame Count: 68] [Image Capture Start Time: 9.940796106 seconds]
Jun 20 11:14:31 raspberrypi capture[49573]: [Course #:4] [Final Project] [Frame Count: 69] [Image Capture Start Time: 10.040869717 seconds]
Jun 20 11:14:32 raspberrypi capture[49573]: [Course #:4] [Final Project] [Frame Count: 70] [Image Capture Start Time: 10.140883309 seconds]
Jun 20 11:14:32 raspberrypi capture[49573]: [Course #:4] [Final Project] [Frame Count: 71] [Image Capture Start Time: 10.240905309 seconds]
Jun 20 11:14:32 raspberrypi capture[49573]: [Course #:4] [Final Project] [Frame Count: 72] [Image Capture Start Time: 10.340899791 seconds]
Jun 20 11:14:32 raspberrypi capture[49573]: [Course #:4] [Final Project] [Frame Count: 73] [Image Capture Start Time: 10.440932365 seconds]
Jun 20 11:14:32 raspberrypi capture[49573]: [Course #:4] [Final Project] [Frame Count: 74] [Image Capture Start Time: 10.540928346 seconds]
Jun 20 11:14:32 raspberrypi capture[49573]: [Course #:4] [Final Project] [Frame Count: 75] [Image Capture Start Time: 10.640962327 seconds]
Jun 20 11:14:32 raspberrypi capture[49573]: [Course #:4] [Final Project] [Frame Count: 76] [Image Capture Start Time: 10.740959272 seconds]
Jun 20 11:14:32 raspberrypi capture[49573]: [Course #:4] [Final Project] [Frame Count: 77] [Image Capture Start Time: 10.840991161 seconds]
Jun 20 11:14:32 raspberrypi capture[49573]: [Course #:4] [Final Project] [Frame Count: 78] [Image Capture Start Time: 10.940993031 seconds]
